generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
365,67,856.80743,2.059357,1.0338078,0,137.97691,69.26512,0,12.788171
366,68,861.7063,2.0657978,1.0332304,0,140.47426,70.25967,0,12.672152
367,68,866.10736,2.0657978,1.0332303,0,140.47426,70.25966,0,12.736873
368,68,881.61523,2.0657978,1.0332303,0,140.47426,70.25966,0,12.96493
369,74,908.4599,2.0770276,1.0312772,0,153.70004,76.314514,0,12.276485
370,77,930.8426,2.090385,1.0316454,0,160.95964,79.4367,0,12.088865
371,79,988.19073,2.1024845,1.0327655,0,166.09627,81.58847,0,12.508743
372,83,1011.56366,2.1071422,1.0330808,0,174.8928,85.745705,0,12.187514
373,87,1059.8826,2.1105766,1.0332782,0,183.62016,89.8952,0,12.182558
374,89,1100.202,2.1113207,1.0326285,0,187.90755,91.90394,0,12.36182
375,93,1108.7869,2.11671,1.0306474,0,196.85403,95.850204,0,11.92244
376,97,1133.6216,2.1293495,1.0320498,0,206.5469,100.108826,0,11.68682
377,100,1135.9044,2.1326766,1.0323911,0,213.26765,103.239105,0,11.359044
378,101,1156.0573,2.14104,1.0336123,0,216.24506,104.39484,0,11.446112
379,104,1163.4885,2.1369767,1.0317259,0,222.24557,107.29949,0,11.187389
380,106,1179.7739,2.1421876,1.030884,0,227.07188,109.273705,0,11.129943
381,107,1204.3524,2.1501164,1.031131,0,230.06247,110.33102,0,11.2556305
382,109,1226.7216,2.154605,1.0314778,0,234.85193,112.431076,0,11.254326
383,110,1236.9579,2.159088,1.0307678,0,237.49968,113.38446,0,11.245071
384,110,1258.8489,2.1590881,1.0307677,0,237.4997,113.384445,0,11.44408
385,111,1274.4397,2.1631808,1.0318327,0,240.11307,114.53343,0,11.481439
386,114,1318.8926,2.167679,1.0316038,0,247.1154,117.60284,0,11.569233
387,117,1326.3223,2.1753876,1.0328131,0,254.52036,120.839134,0,11.336088
388,119,1365.3334,2.1719353,1.0317433,0,258.4603,122.77746,0,11.47339
389,123,1415.5502,2.178393,1.0335879,0,267.94232,127.13132,0,11.508538
390,125,1456.1178,2.1821744,1.0329536,0,272.77182,129.1192,0,11.648942
391,128,1479.645,2.188448,1.0327201,0,280.12134,132.18817,0,11.559727
392,130,1470.6537,2.1931934,1.031928,0,285.11514,134.15063,0,11.31272
393,131,1482.8063,2.2009788,1.0311457,0,288.32822,135.08008,0,11.319132
394,137,1534.722,2.225256,1.0316391,0,304.86008,141.33456,0,11.202351
395,145,1559.1266,2.2393622,1.0316831,0,324.70752,149.59404,0,10.752597
396,144,1647.1646,2.2321138,1.0317918,0,321.42438,148.57802,0,11.4386425
397,152,1694.2656,2.2309546,1.0294093,0,339.1051,156.47021,0,11.146484
398,159,1720.468,2.2334957,1.02966,0,355.12582,163.71594,0,10.820554
399,161,1761.4286,2.2371814,1.0304503,0,360.18622,165.9025,0,10.94055
400,163,1778.614,2.237508,1.0302049,0,364.7138,167.9234,0,10.911742
401,164,1799.5192,2.2401142,1.0304004,0,367.37872,168.98567,0,10.972678
402,171,1813.9246,2.2536933,1.0283722,0,385.38156,175.85164,0,10.607746
